rbd,prom_prioritario
400,.57446808
4482,.54022986
1433,.69999999
10429,.84848487
17828,.82692307
25954,.68000001
24843,.53846157
18220,.55263156
31262,.42500001
9729,.80000001
9285,.87096775
2420,.75
8162,.8611111
519,.79069769
10283,.7037037
10773,.50602412
3038,.8888889
2224,.61290324
750,1
10790,.84090906
12185,.72000003
22581,.80000001
7760,.74074072
26378,.2857143
12837,.55172414
3719,.74545455
10420,.69230771
11709,.73333335
17838,.84375
14605,.65517241
15792,.60000002
5897,.70149255
4873,.66666669
22602,.47826087
1301,.81481481
3255,.90909094
9767,.2
4164,.47368422
26084,.74285716
2165,.65432101
22552,.80000001
10727,.78431374
22702,.5970149
3885,.86486489
10748,.5714286
24893,.94117647
12630,.73469388
3531,.5
9905,.20689656
12977,.41463414
7085,.73333335
721,.78333336
2114,.70588237
12810,.47499999
3533,.56410259
3749,.83333331
658,.7647059
24230,.64999998
12115,.76666665
9604,.75
22749,.75
6754,.5625
25703,.42857143
133,.41666666
22483,.34693879
2964,.6857143
10327,.59375
5697,.76923078
25724,.21428572
2738,.66666669
4869,.63157892
2847,.78846157
5664,.62962961
4955,.86363637
9414,.7368421
15664,.54545456
17788,.41935483
2019,.8125
25739,.48979592
3249,.76785713
24424,.73333335
19906,.78378379
17751,.74603176
5012,.53658539
8105,.5
3435,.88372093
10476,.60526317
317,.60294116
17797,.68181819
31084,.63157892
9505,.47945204
6052,.73333335
26158,.57894737
10668,.79310346
25324,.73770493
5093,.60000002
9144,.68518519
562,.875
3460,.7647059
10763,.51428574
10487,.42364532
3538,.74358976
9078,.40384614
36,.9375
5879,.77611941
4973,.52173913
2326,.60606062
3796,.66250002
9558,.44680852
9536,.55555558
1712,.78260869
31074,.39784947
8536,.54285717
11209,.65853661
16627,.27027026
1384,.75
3114,.89999998
6086,.78787881
28,.78260869
1260,.66666669
10090,.74193549
1741,.52777779
9259,.14285715
3032,.63157892
8421,.50819671
4664,.41428572
9385,.48571429
296,.57692307
7325,.59633029
2286,.69135803
9659,.58823532
3910,.74489796
18094,.58064514
3431,.40983605
11705,.95652175
10836,.72727275
9656,.54310346
9994,.82352942
10665,.96666664
6934,.5925926
25676,.66197181
1587,.61290324
22759,.54545456
40251,.375
208,.61403507
17741,.8918919
4481,.8888889
20226,.76785713
31103,.44615385
3544,.91666669
9020,.43137255
26503,.46153846
22130,.89285713
4747,.63636363
1717,.71428573
2018,.68115944
25121,.52325583
22414,.73770493
3266,.83333331
9655,.51851851
15690,.42622951
9876,.51923078
4807,.70909089
5082,.54954952
10829,.80882353
5024,.67175573
7086,1
1520,.61971831
4352,.92682928
16448,.52564102
17883,.36666667
10816,.86666667
22467,.33333334
7004,.7368421
10458,.68354428
9098,.70212764
4767,.45833334
1257,.70175439
15579,.58620691
5957,.625
10407,.62
22505,.80000001
9937,.29166666
523,.82352942
24329,.44642857
25362,.85714287
10326,.5
1970,.65625
344,.2682927
2356,.32608697
6457,.76923078
25396,.53246754
1959,.58333331
16556,.78787881
5993,.71428573
4262,.56140351
16444,.70769233
7633,.66666669
2250,.3125
2525,.75
22192,.55555558
4982,.71428573
7003,.94444442
3723,.61728394
12623,.69696969
22560,.64615387
2083,.66666669
11145,.55000001
10786,.6857143
2489,.75
9799,.61818182
9600,.76923078
13138,.56521738
1216,.76190478
22065,.40579709
40230,.86206895
5110,.7647059
17690,.48717949
5470,.80952382
8697,.37837839
6766,.57608694
9443,.8888889
740,.90909094
2278,.49504951
5406,.875
10629,.63333333
13552,.58333331
7630,.66153848
9625,.67741936
10410,.82352942
7125,.78947371
31466,.66666669
2024,.93333334
5398,.80645162
17812,.21875
2284,.640625
4357,.80000001
18123,.47619048
6770,.47058824
9699,.74285716
6586,.96078432
2787,.26190478
25082,.69696969
5588,.8125
5847,.85714287
2407,.92307693
19952,.6769231
4593,.9375
1392,.4074074
8371,.75
10837,.77777779
16756,.42424244
22007,.66666669
24759,.59090906
12242,.67647058
9292,.52173913
25714,.4074074
13463,.82352942
7108,.85714287
198,.66666669
551,.85714287
17735,.69402987
2220,.81818181
2599,.82352942
22686,.86206895
4050,.66666669
17794,.38028169
5824,.60000002
6189,.75862068
712,.66666669
25717,.37209302
2329,.55223882
22509,.83999997
9865,.65625
3010,.64285713
9891,.26086956
4029,.8125
614,.85714287
16428,.78260869
9345,.60000002
17895,.58024693
31421,.32258064
9556,.54347825
20475,.5625
15728,.68181819
13489,.375
9911,.49253732
11339,.67213112
14670,.32142857
7464,1
417,.66666669
1482,.57377046
1536,.79545456
24224,.63076925
3138,.74074072
4578,.71698111
419,.87671232
15855,.53846157
13606,.61290324
8422,.53571427
2428,.73333335
9284,.47058824
31425,.64285713
7627,.59420288
25185,.46296296
10116,.82758623
12632,.91803277
6420,.875
31274,.5
1533,.75471699
25577,.5
478,.44827586
2267,.78947371
9146,.41176471
11591,.8888889
10674,.77777779
7476,.90909094
4865,.5
5218,.4074074
6835,.3898305
16508,.42424244
10527,.94594592
9702,.81818181
8174,.77999997
30005,.60377359
11739,1
14866,.2857143
4660,.70833331
4292,.65789473
25418,.6885246
10164,.67441863
10134,.6785714
8658,.40625
706,.66129035
26254,.58333331
5280,.74603176
10424,.53333336
4061,1
6826,.2857143
8552,.50617284
8458,.40677965
10640,.7631579
9433,.51612902
416,.61016947
10757,.56521738
16569,.95652175
2848,.70588237
25520,.45454547
12547,.70642203
12842,.7638889
15746,.60000002
12693,.65591395
13503,.40000001
9827,.41935483
12059,1
25711,.77999997
3482,.9375
1203,.85000002
9906,.41666666
3464,.82352942
5717,.68000001
16564,.75675678
31337,1
3653,.94444442
5225,.875
11792,.45238096
18014,.5625
25613,.56756759
10461,.63636363
11853,.875
3662,.77777779
12255,.36363637
31379,.42105263
25048,.2857143
20064,.8125
10588,.63636363
24427,.43137255
10706,.95238096
6181,.84210527
7970,.72972971
16713,.54545456
2041,.62790698
4898,.75714284
16895,.44444445
2991,.46296296
5613,.66666669
1619,.72549021
8309,.7368421
4742,.78125
9919,.27272728
11397,.60526317
25043,.85714287
8523,.52380955
19983,.69230771
270,.57692307
17874,.84444445
11177,.66233766
5940,.95161289
431,.5714286
10840,.63999999
2052,.68965518
25155,.55172414
10290,.9130435
9967,.11764706
13376,.60000002
14697,.57317072
6216,.84615386
4672,.56557375
714,.84375
15622,.67741936
2843,.83333331
7122,.83999997
3354,.85714287
22210,.27272728
9324,.71428573
9647,.57258064
2084,.69444442
10688,.64444447
16467,.55172414
2896,.74358976
18181,.44
2414,.75
25386,.47945204
8944,.54545456
3401,.9285714
31087,.30769232
8827,.22222222
5135,.75
15724,.79310346
29,.8214286
7740,.66666669
31153,.5714286
7651,.89285713
5,.54166669
2993,.78125
8108,.63235295
9294,.63157892
40295,.5
1887,.53703701
453,.6875
7593,.92307693
13428,.60714287
26250,.75999999
4548,.45454547
11789,.69999999
575,.69230771
10631,.7368421
7181,.55555558
25722,.5
13561,.66666669
4179,.56896549
10361,.56
16730,.6875
25901,.57575756
7202,.72500002
17918,.38297874
5442,.91176468
10540,.47058824
25593,.2631579
4926,.84375
20046,.57999998
3856,.92307693
4737,.66666669
7299,.68656719
1682,.82692307
12122,.56097561
3335,.72093022
1336,.75409836
4614,.6875
4455,.7037037
1889,.71428573
9328,.6785714
10156,.53571427
24426,.5714286
17860,.6875
4615,.86842108
11830,.53658539
1692,.84615386
9013,.5
4997,.77272725
4722,.55172414
12885,.2962963
25544,.87096775
2330,.67045456
13358,.83333331
